typedef struct {
  double lambda;
  double pass;
} H158;
H158 13200.0 0.0001
H158 13250.0 0.0002
H158 13300.0 0.0006
H158 13350.0 0.0017
H158 13400.0 0.0042
H158 13450.0 0.0096
H158 13500.0 0.0201
H158 13550.0 0.0386
H158 13600.0 0.0684
H158 13650.0 0.1119
H158 13700.0 0.1697
H158 13750.0 0.2396
H158 13800.0 0.3165
H158 13850.0 0.3934
H158 13900.0 0.4633
H158 13950.0 0.5212
H158 14000.0 0.5647
H158 14050.0 0.5945
H158 14100.0 0.6131
H158 14150.0 0.6237
H158 14200.0 0.6292
H158 14250.0 0.6319
H158 14300.0 0.6332
H158 14350.0 0.6339
H158 14400.0 0.6342
H158 14450.0 0.6345
H158 14500.0 0.6348
H158 14550.0 0.635
H158 14600.0 0.6352
H158 14650.0 0.6354
H158 14700.0 0.6356
H158 14750.0 0.6358
H158 14800.0 0.636
H158 14850.0 0.6362
H158 14900.0 0.6363
H158 14950.0 0.6364
H158 15000.0 0.6366
H158 15050.0 0.6367
H158 15100.0 0.6368
H158 15150.0 0.6369
H158 15200.0 0.6371
H158 15250.0 0.6372
H158 15300.0 0.6372
H158 15350.0 0.6373
H158 15400.0 0.6374
H158 15450.0 0.6374
H158 15500.0 0.6375
H158 15550.0 0.6376
H158 15600.0 0.6377
H158 15650.0 0.6379
H158 15700.0 0.638
H158 15750.0 0.638
H158 15800.0 0.638
H158 15850.0 0.6379
H158 15900.0 0.6377
H158 15950.0 0.6374
H158 16000.0 0.637
H158 16050.0 0.6365
H158 16100.0 0.6358
H158 16150.0 0.635
H158 16200.0 0.6342
H158 16250.0 0.6332
H158 16300.0 0.6322
H158 16350.0 0.6312
H158 16400.0 0.6301
H158 16450.0 0.629
H158 16500.0 0.6279
H158 16550.0 0.6263
H158 16600.0 0.6245
H158 16650.0 0.6227
H158 16700.0 0.621
H158 16750.0 0.6194
H158 16800.0 0.618
H158 16850.0 0.617
H158 16900.0 0.6164
H158 16950.0 0.6162
H158 17000.0 0.6166
H158 17050.0 0.6183
H158 17100.0 0.6206
H158 17150.0 0.6229
H158 17200.0 0.6247
H158 17250.0 0.6255
H158 17300.0 0.624
H158 17350.0 0.619
H158 17400.0 0.6088
H158 17450.0 0.5917
H158 17500.0 0.566
H158 17550.0 0.5304
H158 17600.0 0.4854
H158 17650.0 0.4321
H158 17700.0 0.3727
H158 17750.0 0.3105
H158 17800.0 0.2489
H158 17850.0 0.1916
H158 17900.0 0.1413
H158 17950.0 0.0996
H158 18000.0 0.0669
H158 18050.0 0.0429
H158 18100.0 0.0261
H158 18150.0 0.0151
H158 18200.0 0.0083
H158 18250.0 0.0044
H158 18300.0 0.0022
H158 18350.0 0.001
H158 18400.0 0.0005
H158 18450.0 0.0002
H158 18500.0 0.0001
