typedef struct {
  double lambda;
  double pass;
} J129;
J129 10850.0 0.0002
J129 10900.0 0.0006
J129 10950.0 0.0021
J129 11000.0 0.0061
J129 11050.0 0.0158
J129 11100.0 0.036
J129 11150.0 0.0725
J129 11200.0 0.1297
J129 11250.0 0.2076
J129 11300.0 0.2999
J129 11350.0 0.3948
J129 11400.0 0.4795
J129 11450.0 0.5453
J129 11500.0 0.5898
J129 11550.0 0.6163
J129 11600.0 0.6302
J129 11650.0 0.6368
J129 11700.0 0.6399
J129 11750.0 0.6416
J129 11800.0 0.6428
J129 11850.0 0.6438
J129 11900.0 0.6448
J129 11950.0 0.6456
J129 12000.0 0.6463
J129 12050.0 0.6467
J129 12100.0 0.647
J129 12150.0 0.6471
J129 12200.0 0.6472
J129 12250.0 0.6473
J129 12300.0 0.6473
J129 12350.0 0.6473
J129 12400.0 0.6473
J129 12450.0 0.6473
J129 12500.0 0.6473
J129 12550.0 0.6476
J129 12600.0 0.648
J129 12650.0 0.6483
J129 12700.0 0.6487
J129 12750.0 0.6489
J129 12800.0 0.649
J129 12850.0 0.6491
J129 12900.0 0.649
J129 12950.0 0.6487
J129 13000.0 0.6482
J129 13050.0 0.6473
J129 13100.0 0.6462
J129 13150.0 0.645
J129 13200.0 0.6436
J129 13250.0 0.6421
J129 13300.0 0.6407
J129 13350.0 0.6393
J129 13400.0 0.6379
J129 13450.0 0.6366
J129 13500.0 0.6355
J129 13550.0 0.6348
J129 13600.0 0.6342
J129 13650.0 0.6337
J129 13700.0 0.6333
J129 13750.0 0.6331
J129 13800.0 0.6329
J129 13850.0 0.6329
J129 13900.0 0.6328
J129 13950.0 0.6328
J129 14000.0 0.6326
J129 14050.0 0.6318
J129 14100.0 0.6301
J129 14150.0 0.6263
J129 14200.0 0.6189
J129 14250.0 0.6056
J129 14300.0 0.5836
J129 14350.0 0.5503
J129 14400.0 0.504
J129 14450.0 0.4451
J129 14500.0 0.3764
J129 14550.0 0.3026
J129 14600.0 0.2301
J129 14650.0 0.1646
J129 14700.0 0.1104
J129 14750.0 0.0691
J129 14800.0 0.0403
J129 14850.0 0.0218
J129 14900.0 0.011
J129 14950.0 0.0051
J129 15000.0 0.0022
J129 15050.0 0.0009
J129 15100.0 0.0003
J129 15150.0 0.0001
