typedef struct {
  double lambda;
  double pass;
} Y106;
Y106 8900.0 0.0002
Y106 8950.0 0.0009
Y106 9000.0 0.0037
Y106 9050.0 0.0123
Y106 9100.0 0.034
Y106 9150.0 0.0783
Y106 9200.0 0.1518
Y106 9250.0 0.2507
Y106 9300.0 0.3589
Y106 9350.0 0.4553
Y106 9400.0 0.5253
Y106 9450.0 0.5671
Y106 9500.0 0.5881
Y106 9550.0 0.598
Y106 9600.0 0.6029
Y106 9650.0 0.6062
Y106 9700.0 0.6091
Y106 9750.0 0.6118
Y106 9800.0 0.6144
Y106 9850.0 0.6169
Y106 9900.0 0.6192
Y106 9950.0 0.6213
Y106 10000.0 0.6231
Y106 10050.0 0.6246
Y106 10100.0 0.6258
Y106 10150.0 0.6268
Y106 10200.0 0.6277
Y106 10250.0 0.6284
Y106 10300.0 0.629
Y106 10350.0 0.6295
Y106 10400.0 0.63
Y106 10450.0 0.6305
Y106 10500.0 0.631
Y106 10550.0 0.6319
Y106 10600.0 0.6328
Y106 10650.0 0.6336
Y106 10700.0 0.6345
Y106 10750.0 0.6354
Y106 10800.0 0.6362
Y106 10850.0 0.6369
Y106 10900.0 0.6376
Y106 10950.0 0.6382
Y106 11000.0 0.6387
Y106 11050.0 0.6389
Y106 11100.0 0.6389
Y106 11150.0 0.6388
Y106 11200.0 0.6387
Y106 11250.0 0.6385
Y106 11300.0 0.6383
Y106 11350.0 0.6381
Y106 11400.0 0.6379
Y106 11450.0 0.6377
Y106 11500.0 0.6372
Y106 11550.0 0.636
Y106 11600.0 0.6323
Y106 11650.0 0.6231
Y106 11700.0 0.6041
Y106 11750.0 0.5703
Y106 11800.0 0.5176
Y106 11850.0 0.4456
Y106 11900.0 0.3591
Y106 11950.0 0.2679
Y106 12000.0 0.1831
Y106 12050.0 0.1137
Y106 12100.0 0.0638
Y106 12150.0 0.0321
Y106 12200.0 0.0145
Y106 12250.0 0.0058
Y106 12300.0 0.0021
Y106 12350.0 0.0007
Y106 12400.0 0.0002
